source,job_type,month,year,job_id,job_title,salary,location,exp,level,industry,company_name,tools
Topcv,Business Analyst,12,2025,1967673,Product Executive (Có Sign Bonus - Build Product),27.5,Hà Nội,4.0,Nhân viên,IT - Phần mềm,Công ty Cổ phần Công nghệ KiotViet,
Topcv,Business Analyst,12,2025,1960771,Business Analyst - TT,20.0,Hà Nội,1.0,Nhân viên,IT - Phần mềm,Công ty Cổ phần Hệ thống Công nghệ ETC,
Topcv,Business Analyst,12,2025,1867040,Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),14.0,Hà Nội,2.0,Nhân viên,IT - Phần mềm,CÔNG TY TNHH CÔNG NGHỆ EZCLOUD TOÀN CẦU,
Topcv,Business Analyst,12,2025,1828478,"Business Analyst [Hà Nội] - Tuyển Nam, Thu Nhập Upto 15 Triệu, Tối Thiểu 1 Năm Kinh Nghiệm",13.0,Hà Nội,1.0,Nhân viên,IT - Phần mềm,Công ty TNHH Pancake Việt Nam,
Topcv,Business Analyst,12,2025,1312415,Business Analyst (Junior/Middle),,Hồ Chí Minh,5.0,Nhân viên,IT - Phần mềm,CÔNG TY CỔ PHẦN TVT GROUP,"Excel,Visio"
Topcv,Business Analyst,12,2025,1962034,Business Analyst,25.0,Hà Nội,2.0,Nhân viên,IT - Phần mềm,Công ty Cổ phần Công nghệ MicroTech,
Topcv,Business Analyst,12,2025,1958652,Business Analyst (BA)- Đi Làm Ngay- HCM.,16.0,Hồ Chí Minh,2.0,,,Công Ty TNHH NASYS,
Topcv,Business Analyst,12,2025,1647922,Chuyên Viên Cao Cấp Phân Tích Nghiệp Vụ (Kênh Ngân Hàng Số),,Hà Nội,3.0,Nhân viên,Ngân hàng,Ngân Hàng Thương Mại Cổ Phần Thịnh Vượng Và Phát Triển – PGBank,Visio
Topcv,Business Analyst,12,2025,1919234,Business Analyst (BA) - Up To 40 Triệu - Tại Hà Nội,,Hà Nội,2.0,Nhân viên,IT - Phần mềm,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,"Confluence,Jira"
Topcv,Business Analyst,12,2025,1960868,Business Analyst (Blockchain/Web3),,Hồ Chí Minh,2.0,Nhân viên,IT - Phần mềm,CÔNG TY TNHH NEXSOFT TECHNOLOGY,
Topcv,Business Analyst,12,2025,1471641,Thực Tập Sinh Phân Tích Nghiệp Vụ,,Hồ Chí Minh,0.0,Thực tập sinh,IT - Phần mềm,CÔNG TY TNHH TƯ VẤN QUẢN LÝ VÀ KHAI THÁC TÀI SẢN UNICORN LABUAN TRUST,"Confluence,Jira"
Topcv,Business Analyst,12,2025,1050260,Nhân Viên Phân Tích Nghiệp Vụ (Business Analyst),27.0,Hà Nội,2.0,Nhân viên,IT - Phần mềm,Công ty cổ phần phần mềm REVOTECH,"Axure,Visio"
Topcv,Business Analyst,12,2025,1915029,Business Analyst - Tuyển Từ 6 Tháng Kinh Nghiệm,,Hà Nội,1.0,Nhân viên,IT - Phần mềm,Công ty Cổ phần Hệ thống Công nghệ ETC,"Axure,Balsamiq,SQL"
Topcv,Business Analyst,12,2025,1878319,Business Analyst Internship (Company Secretariat),2.2,Hồ Chí Minh,0.0,Thực tập sinh,Chứng khoán,Công ty Cổ phần Chứng khoán Phú Hưng,Excel
Topcv,Business Analyst,12,2025,1960934,"Junior Business Analyst (Từ 2 Năm Kinh Nghiệm, Offer 12-18tr/Tháng)",15.0,Hà Nội,2.0,,,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,
Topcv,Business Analyst,12,2025,1967857,Business Analyst (Middle Level) — Fintech Product,,Hà Nội,2.0,Nhân viên,IT - Phần mềm,Nano Technologies,SQL
Topcv,Business Analyst,12,2025,1141066,Chuyên Viên Business Analyst,20.0,Hà Nội,2.0,Nhân viên,IT - Phần mềm,Công ty TNHH Digital Innovation,
Topcv,Business Analyst,12,2025,1122735,Thực Tập Sinh Business Analyst,1.0,Hà Nội,0.0,Thực tập sinh,IT - Phần mềm,CÔNG TY CỔ PHẦN LIFETEX,SQL
Topcv,Business Analyst,12,2025,74063,Chuyên Viên Phân Tích Nghiệp Vụ,,Hà Nội,2.0,Nhân viên,IT - Phần mềm,Công ty Cổ phần Tập đoàn HiPT,Axure
Topcv,Business Analyst,12,2025,1957152,"Business Analyst - Phân Tích Nghiệp Vụ, Thu Nhập Đến 15 Triệu Tại Hà Nội",12.0,Hà Nội,1.0,Nhân viên,Thương mại điện tử,Công ty cổ phần dịch vụ công nghệ TSC Việt Nam,Excel
Topcv,Business Analyst,12,2025,1963373,IT Business Analyst,27.5,Hà Nội,3.0,Nhân viên,IT - Phần mềm,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),
Topcv,Business Analyst,12,2025,1956535,Chuyên Viên Phân Tích Nghiệp Vụ (BA),20.0,Hà Nội,3.0,Nhân viên,IT - Phần mềm,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ MIGI,"Axure,Mysql,Oracle,Postgresql,SQL,SQL Server,Visio"
Topcv,Business Analyst,12,2025,1707359,Nhân Viên Tester/BA ( Business Analyst),11.0,Hồ Chí Minh,2.0,Nhân viên,Marketing/Truyền thông/Quảng cáo,CÔNG TY CỔ PHẦN TRUYỀN THÔNG DU LỊCH VIỆT,"Excel,Jira"
Topcv,Business Analyst,12,2025,1954789,Fresher Business Analyst,,Hồ Chí Minh,1.0,Nhân viên,IT - Phần mềm,Splus Software,Jira
Topcv,Business Analyst,12,2025,1716905,Chuyên Viên Phân Tích Nghiệp Vụ ( IT BA),,Hà Nội,2.0,Nhân viên,Ngân hàng,Công Ty Tài Chính Tổng hợp Cổ Phần Tín Việt,"Oracle,SQL,Visio"
Topcv,Business Analyst,12,2025,1962789,CVCC Đại Diện Đơn Vị Nghiệp Vụ (BA Biz) - SI - MSB - 3K029,,Hà Nội,3.0,Nhân viên,Ngân hàng,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),
